Unnamed: 0,ID,RAdeg,DECdeg,G_mag,g_mag,g_r,logExcess,Gp_G,Pext,Pgc
12293,388598096800312832,8.408858,44.670879,21.137,19.395,0.645,1.356,-2.593,1.0,0.0
14366,396078418005540096,1.407339,52.725798,17.854,18.081,0.533,0.308,-0.42,0.59,0.04
13240,391556161036865280,7.577692,49.355394,17.929,18.272,0.764,0.327,-0.299,0.76,0.12
11866,386359766003854848,2.977515,44.638023,18.63,19.152,0.78,0.227,-0.224,0.59,0.04
11728,386444462758597760,1.955433,45.387371,17.315,18.077,1.147,0.31,-0.339,0.68,0.1
11646,385908515262208896,4.113806,44.440227,20.754,19.446,0.987,1.247,-2.526,1.0,0.0
8705,375598914421717504,13.324937,42.829481,20.338,19.245,0.871,1.008,-1.976,1.0,0.0
9339,377190629301468416,14.390128,43.817724,20.71,18.891,0.528,1.073,-2.547,1.0,0.04
9515,378423658576974336,5.771505,36.8375,22.058,19.29,0.501,1.687,-3.622,1.0,0.04
13580,392492292110364032,5.44742,47.701042,20.036,18.712,0.829,0.992,-2.165,1.0,0.01
6774,371309547762344064,16.684552,40.05492,20.145,18.772,0.883,0.943,-2.178,0.97,0.03
15621,403338488982833280,18.874503,50.046642,18.156,19.407,1.298,0.328,-0.366,0.52,0.02
17883,2861134421767623936,2.070825,29.990457,20.597,19.469,0.774,0.91,-2.042,1.0,0.01
15637,403324749384555008,18.932613,49.948666,19.884,18.971,0.873,0.916,-1.905,1.0,0.01
5624,367979264480365696,11.479733,38.688959,18.11,18.952,1.168,0.473,-0.749,0.72,0.07
13452,392671714365048704,4.496625,47.766195,20.48,19.459,1.108,1.045,-2.045,1.0,0.0
11389,385413808047836928,3.44811,43.26334,20.359,19.317,0.77,1.035,-2.121,1.0,0.03
15097,400907335632972672,17.25799,45.862088,17.706,17.48,1.09,0.613,-1.293,0.59,0.32
5036,365795703107548416,9.604841,35.951571,20.192,18.784,0.869,0.992,-2.255,0.99,0.0
19806,2875141748932293248,0.892682,33.915031,21.311,19.442,0.53,1.252,-2.516,0.99,0.03
13932,394610398182876160,3.79734,50.706183,21.565,18.936,0.222,1.267,-2.849,1.0,0.28
3469,323496047677522048,20.208043,38.663634,20.241,18.561,0.715,1.218,-2.573,1.0,0.01
1930,314465788742661632,14.905789,32.830354,20.18,19.389,0.919,0.866,-1.707,1.0,0.02
18695,2861609067192807936,2.893305,31.169324,21.612,19.179,0.326,1.27,-2.869,1.0,0.09
6796,370892970293433984,15.880301,39.446824,20.599,19.186,0.879,1.111,-2.329,1.0,0.0
9716,378686617949332992,4.440064,37.400706,20.337,19.267,0.901,0.909,-2.001,0.98,0.01
8524,375582627903786496,13.005349,42.676075,20.884,19.164,1.035,1.282,-2.59,1.0,0.01
5561,367842787599694848,12.783344,38.750707,19.657,18.839,0.744,0.859,-1.71,1.0,0.04
12797,390361747811071488,11.314694,48.308261,19.726,18.701,0.41,0.819,-1.785,0.91,0.06
16362,414888828571061504,10.621334,51.064768,20.048,19.261,0.909,0.889,-1.811,0.99,0.01
9978,380091622011268864,5.28016,39.639064,21.075,19.456,0.829,1.335,-2.656,1.0,0.0
2110,316833900566280704,21.107336,33.40715,19.785,17.634,0.593,1.344,-2.869,1.0,0.05
14720,397684014215928960,19.864007,45.206035,20.668,19.075,0.87,1.288,-2.6,1.0,0.0
14248,395363013894439040,2.76002,51.033515,20.126,18.75,0.622,1.042,-2.158,1.0,0.0
11835,386549947154706432,0.46028,44.983526,19.409,17.935,0.583,1.106,-2.217,1.0,0.01
19391,2873824744457771008,0.000338,32.136615,20.69,19.117,0.353,0.938,-2.128,0.85,0.04
16221,414586153631873024,12.236588,50.065995,18.52,19.492,1.043,0.147,-0.052,0.69,0.03
3924,360812269733613952,10.823933,32.276246,20.32,19.234,1.155,0.937,-1.961,1.0,0.0
4390,362736552521220736,15.067414,34.265569,21.367,18.883,0.227,1.359,-2.979,1.0,0.01
13541,392702054012816000,4.721539,48.016727,20.021,17.299,0.73,1.554,-3.469,1.0,0.2
18007,2860487015576351360,4.115539,29.867712,18.151,19.169,1.213,0.271,-0.211,0.68,0.0
292,310058435038130048,18.410055,30.319244,20.408,19.33,0.978,0.958,-2.051,1.0,0.01
8357,375175568085069952,13.182384,41.969963,20.925,19.19,1.023,1.223,-2.783,1.0,0.01
1372,314002142728819840,18.395944,33.23784,20.193,19.388,0.797,0.803,-1.662,1.0,0.0
19123,2864089118748915712,4.743358,34.194019,20.179,19.2,0.927,0.946,-1.95,1.0,0.0
11900,386816127752346496,2.359187,46.088827,20.073,19.151,0.96,1.0,-1.975,0.99,0.01
6877,370684441042153344,16.367682,39.185895,19.643,18.412,0.515,0.969,-1.992,1.0,0.03
18814,2863358317177908480,5.068865,32.717157,20.435,18.187,0.931,1.476,-3.025,1.0,0.01
75,308417757530777600,17.199132,29.360277,20.421,19.113,0.975,1.067,-2.132,1.0,0.0
13757,393682238571505024,3.143626,49.591122,20.14,18.597,0.83,1.182,-2.454,1.0,0.0
