Object ID,RADEG,DECDEG,Pgc,Nearest field,Distance to nearest field
2.8760708405526794e+18,2.508845,35.135234,0.0,m114,43.43534638387727
3.9475082643166374e+17,5.62343,51.011293,0.0,m404,107.43029407142483
2.863185491989343e+18,3.964806,31.669091,0.04,m054,136.2517940139788
3.2242581054729894e+17,21.742596,37.703354,0.21,m173,30.009099123580462
3.9752901743592346e+17,19.747588,44.286399,0.02,m308,53.989176383046285
3.968417539487329e+17,20.771288,44.434918,0.01,m324,51.326917383856625
2.858911690292642e+18,7.615689,30.145658,0.0,m038,133.35770116313572
4.069955033131734e+17,21.671064,52.264957,0.02,m383,507.3689661561276
3.638465782293527e+17,13.67625,35.480714,0.04,m122,46.070089905450395
3.7029263694557606e+17,18.514566,39.062131,0.01,m198,14.793039726567796
2.8751974160048384e+18,0.368923,33.958659,0.06,m112,128.03113054874404
3.75407496318672e+17,12.248249,42.693353,0.26,m279,16.48838507530889
3.128652133462267e+17,13.911131,31.546263,0.01,m036,47.511017313992376
3.140835065891364e+17,17.876749,33.593422,0.0,m071,53.28164702786027
3.6410801718256486e+17,12.536072,36.001636,0.17,m145,34.329502637979544
3.672037651854108e+17,11.778428,36.770315,0.01,m147,59.45578223256782
3.899253791341427e+17,9.951225,46.546428,0.0,m365,39.09635000178152
2.863358905588529e+18,5.071963,32.738266,0.0,m074,50.774137639715754
3.8972526801825024e+17,11.594769,46.147393,0.0,m361,64.23987171144071
3.822378687112183e+17,5.967636,43.209298,0.0,m299,37.41619856194256
3.928535160403496e+17,4.452792,48.873228,0.01,m399,39.05500868234452
4.0162737830837734e+17,17.804548,48.421773,0.21,m388,41.506405921842465
3.915044496316041e+17,8.870515,50.015634,0.02,m406,54.75547551784438
3.7305838972562496e+17,17.135598,42.105803,0.01,m271,7.028676359976647
2.861659644728097e+18,4.0363,31.255361,0.0,m054,157.6109256855986
3.197972905617464e+17,19.941866,33.397888,0.01,m085,14.36112168369971
3.607005662237686e+17,10.30202,31.808818,0.0,m040,56.97732180209
3.206741167248974e+17,20.104582,35.525004,0.06,m130,38.27684587167495
2.862016127013111e+18,2.936483,32.412257,0.01,m072,116.72304918943203
3.745860924119928e+17,15.897065,41.729233,0.04,m273,48.98518766002143
3.967545832931821e+17,21.761328,43.857733,0.0,m304,48.309935967450436
2.810192948540637e+18,11.079476,29.431375,0.18,m011,66.98202495571692
3.6656415865594624e+17,8.207606,36.383862,0.35,m144,35.109555217374364
3.9122964044543066e+17,7.067065,49.311399,0.1,m401,37.38728573303764
3.797997703922322e+17,2.991883,38.648261,0.01,m201,54.338070038210816
3.68961094004379e+17,11.458207,40.085876,0.04,m214,52.867822997568034
3.6671730001017434e+17,8.54915,37.287586,0.01,m167,27.90153773947496
3.134513217633275e+17,16.935554,31.871594,0.29,m052,38.06857771826157
2.863175699463945e+18,4.461838,31.730327,0.03,m054,92.62058495591505
3.146713329931081e+17,15.653007,34.022506,0.26,m097,31.052942250593897
3.106634756708298e+17,19.982301,32.086866,0.0,m064,57.78531859472774
3.844893936463589e+17,0.236992,43.189206,0.0,m288,38.67586226339941
3.737396402603643e+17,18.396095,44.167105,0.03,m311,44.67565042746573
2.8620350592295834e+18,2.747208,32.679923,0.0,m072,114.12766351384641
3.9445017872069696e+17,3.466879,49.96075,0.03,m399,105.84097070511365
3.75668218013318e+17,14.20919,43.134805,0.07,m295,52.830568811512414
2.8631050214816645e+18,6.974945,33.522594,0.0,m079,42.97521901918354
2.875853480849542e+18,1.844488,33.887795,0.01,m095,56.65095216215257
4.03146559781841e+17,18.645044,48.770055,0.03,m386,96.06955739261612
4.1898481862942016e+17,7.004654,52.316319,0.0,m405,244.93022198792306
4.169839823397486e+17,11.560586,53.200232,0.0,m403,410.16793321005537
3.7777041552862784e+17,14.565408,45.537204,0.0,m337,51.952686977659006
4.029967856836759e+17,14.73411,50.695699,0.0,m392,286.62838215116204
3.879962516225348e+17,10.743679,44.468902,0.0,m327,33.250193240386785
3.6342725198185114e+17,15.108844,35.597377,0.3,m120,46.810702223785576
3.107082421142441e+17,19.424891,32.268283,0.01,m064,55.74628558238368
3.882515101187007e+17,9.361486,45.086929,0.06,m328,39.71181417942463
3.78514750537898e+17,5.960259,36.893881,0.01,m163,50.52963117190795
4.004287001791178e+17,22.674852,49.549518,0.1,m380,223.32572600276131
3.6576292391716595e+17,9.001908,36.076518,0.0,m146,22.552968590035096
3.6752252047757786e+17,11.501689,37.978989,0.01,m186,53.59547910837167
2.8640182689684485e+18,5.046253,33.805566,0.01,m093,48.181282521909836
2.875683881180565e+18,2.834256,34.027742,0.01,m095,47.346844586306716
3.6253029101068186e+17,11.031731,35.430452,0.09,m127,52.17517393896431
3.124354760978793e+17,12.671745,31.282312,0.01,m042,32.64825793781545
3.756103905733729e+17,13.434013,43.158701,0.04,m296,6.752539138418244
3.754103138174474e+17,12.422272,42.758703,0.0,m279,30.39798671435596
3.63571150566448e+17,16.095432,36.354801,0.01,m138,34.83850310174612
3.140169174164005e+17,18.254481,33.339302,0.0,m071,46.18407023830676
3.1376516361305395e+17,19.144832,32.921401,0.01,m070,29.968336927268787
3.7364642228902285e+17,17.585134,43.830597,0.01,m313,26.78364214508433
3.920902788749504e+17,4.903406,47.081687,0.12,m378,36.062187298870185
3.949205635409334e+17,5.115243,50.820077,0.0,m404,81.83361535712685
3.173975720742798e+17,22.467777,34.879217,0.01,m115,38.456368019005076
3.6286265276072525e+17,13.653181,34.099115,0.04,m100,55.29331677543025
4.041316191224731e+17,18.295397,51.869574,0.02,m388,426.4697655999968
3.960555000559314e+17,1.261471,52.380188,0.03,m404,373.85742638698457
3.716021896539521e+17,19.974912,39.406018,0.02,m219,53.61460422681036
3.0980712791145536e+17,19.333087,29.981003,0.0,m017,82.6639178858172
3.103525543985235e+17,20.382511,31.048775,0.01,m027,39.64639483540292
4.147296699650597e+17,10.830832,50.074031,0.0,m403,100.95069706857612
3.786474478487638e+17,5.252927,37.327819,0.02,m161,20.94374356023678
2.861948919364958e+18,3.295816,32.199022,0.01,m072,115.84165666506647
3.8429378365338176e+17,0.510032,41.712541,0.01,m267,34.1691133476534
4.1608159252966566e+17,10.137323,52.037136,0.08,m406,253.57265416192735
3.6390069481720064e+17,12.719742,35.727215,0.05,m124,53.04826480011555
2.877003531356253e+18,1.275158,35.728842,0.04,m134,53.10933638068229
2.8807251419947996e+18,1.30354,38.048986,0.0,m176,21.304221944760247
3.7118750197172326e+17,17.884067,40.302528,0.0,m223,56.40263703484276
4.190089048059475e+17,6.440689,52.669935,0.0,m405,283.2484258227823
3.209760701056946e+17,17.77081,34.979612,0.0,m113,14.687347088175088
2.8635051406354493e+18,3.716418,32.880826,0.0,m072,30.461755928667756
3.7844599670159795e+17,6.48494,36.605319,0.0,m142,45.61109369488077
3.812075876609975e+17,9.397,40.964542,0.0,m249,41.92175732965672
4.158745063874721e+17,7.352512,51.887705,0.01,m406,201.97432214032654
3.861828820720703e+17,3.128473,46.478364,0.01,m352,60.61824341444669
4.011191977785016e+17,16.62492,46.326488,0.12,m355,33.28029293068029
3.848461164486724e+17,0.819914,43.715764,0.12,m309,49.32851913841576
3.772891043115684e+17,13.827029,44.482335,0.1,m317,43.57449847877547
3.1482447434692646e+17,16.928501,34.047498,0.01,m094,34.159305848168756
2.8810081975188326e+18,0.627734,38.917581,0.03,m197,13.53007586897355
3.213981794921216e+17,17.655445,36.48875,0.01,m135,45.36836895944772
2.8751438792372454e+18,0.552819,33.72794,0.03,m112,148.78799566457965
3.225188223585088e+17,21.966478,37.826841,0.01,m173,12.025646211931031
3.1746240890055744e+17,22.244459,35.103706,0.06,m115,6.2563305792328725
3.728543615994899e+17,19.196222,41.583736,0.0,m264,51.811590945143514
3.956587137977184e+17,1.628446,51.953977,0.01,m404,324.2133724824325
3.834534818931456e+17,4.006126,41.038296,0.0,m246,38.348343713204386
3.8585993488972685e+17,4.769714,45.114547,0.01,m335,52.07323605095996
3.778878227542195e+17,15.080498,46.121254,0.03,m356,10.157470426226565
3.748238918719337e+17,15.388894,42.365194,0.03,m274,51.454516786693084
4.042265550786505e+17,16.289986,50.262393,0.07,m391,239.7253871145869
3.62970370540608e+17,14.079843,34.534633,0.01,m100,34.027037542354286
3.733016223143245e+17,19.571925,42.868232,0.03,m287,22.331725659737735
2.8633615169293496e+18,5.030166,32.736284,0.12,m074,50.64201453419554
3.784245562261399e+17,5.776056,36.880813,0.0,m163,63.94183007665077
4.152665795349151e+17,10.744992,51.244298,0.14,m403,188.65047937924066
3.88490310300437e+17,8.319914,44.174403,0.0,m318,11.123179571354758
3.837574925616408e+17,3.384313,41.937171,0.33,m270,12.744107808420788
4.1455096926023974e+17,12.110493,49.677107,0.0,m396,127.5658578679828
3.774931324387977e+17,13.37583,44.618484,0.0,m317,53.647665872793745
3.232185927902326e+17,20.821689,37.957652,0.01,m171,27.927580194304724
3.7572985938374784e+17,13.212025,43.558524,0.02,m296,51.24148360623977
3.857314294686121e+17,4.966534,44.403202,0.04,m320,48.55082661696047
3.8912246076819674e+17,7.974834,46.081488,0.01,m358,15.669282246653456
3.1410202648781325e+17,18.559541,33.813812,0.17,m090,41.85132819377122
3.692711219263105e+17,11.526557,41.347377,0.21,m248,48.55278610837476
4.037660315050153e+17,18.950483,50.949687,0.0,m386,332.0957802501302
3.605786192165134e+17,10.700037,30.914116,0.17,m037,67.96282932127943
3.768374111932438e+17,17.161409,45.030921,0.0,m334,35.90745685280296
3.620473992490158e+17,10.916032,33.201167,0.04,m084,14.900121014017568
3.859730815081627e+17,3.640739,44.68426,0.0,m335,58.51243645655254
