FieldID,coord_ra_deg,coord_dec_deg
m101,8.290291666666667,34.280386111111106
m102,13.0398,34.28114166666667
m103,9.477125,34.29774722222222
m104,11.852875,34.29813636363636
m105,10.679895833333331,34.31563333333334
m106,19.9764053030303,34.44396464646464
m107,21.101928571428566,34.49840873015874
m108,22.202243055555556,34.54815277777777
m109,23.21433333333333,34.70814814814815
m110,18.86075,35.01640740740741
m111,20.002256944444444,35.048143518518515
m112,0.8247638888888889,35.04707098765432
m113,17.67809722222222,35.0877037037037
m114,2.0318869047619046,35.11506349206349
m115,22.20226388888889,35.148143518518516
m116,16.486116666666664,35.15233611111111
m117,4.4608888888888885,35.16387037037037
m118,3.242328125,35.18022916666666
m119,5.677611111111109,35.188620370370366
m120,15.291329545454543,35.203553030303034
m121,6.8738624999999995,35.23116666666667
m122,14.092739583333332,35.24344444444444
m123,8.074829166666666,35.26291111111111
m124,12.890791666666663,35.270916666666665
m125,9.277995833333332,35.282808333333335
m126,11.687024999999998,35.286808333333326
m127,10.48245,35.29077777777778
m128,21.152672619047618,35.448210317460315
m129,23.214361111111106,35.70814351851852
m130,20.050924999999996,35.86646666666667
m131,22.202690476190476,35.94820634920635
m132,18.84907407407407,35.96033950617284
m133,0.4937777777777777,35.96039351851852
m134,1.721986111111111,36.04039814814814
m135,17.593444444444444,36.083814814814815
m136,21.202291666666664,36.09814814814815
m137,2.9463437499999996,36.12022569444444
m138,16.38627916666666,36.147074999999994
m139,5.406212962962962,36.176364197530866
m140,4.170351851851851,36.178021604938266
m141,15.17290833333333,36.19788888888888
m142,6.635866666666667,36.213525000000004
m143,13.957130208333332,36.237569444444446
m144,7.853583333333333,36.24849242424243
m145,12.737201388888886,36.26417824074074
m146,9.073224999999997,36.271
m147,11.516276960784312,36.278864379084965
m148,10.294703333333333,36.281171111111114
m149,23.214388888888887,36.70815277777778
m150,21.20880952380952,36.75194841269841
m151,359.0151041666666,36.75864351851852
m152,22.42661111111111,36.768499999999996
m153,19.999277777777774,36.85948148148148
m154,0.21973214285714285,36.865071428571426
m155,18.781109374999996,36.95519618055556
m156,1.4336944444444442,36.96040740740741
m157,17.55473611111111,37.03920833333333
m158,2.6685178571428567,37.05007539682539
m159,3.896777777777777,37.11924537037037
m160,16.28221875,37.144125
m161,5.120243055555555,37.17186574074074
m162,15.052263888888886,37.19635185185185
m163,6.360493055555555,37.217115740740745
m164,13.818118055555553,37.235231481481485
m165,7.641451388888888,37.2494537037037
m166,12.580575,37.26093055555556
m167,8.862867424242424,37.2621994949495
m168,11.340954166666666,37.273833333333336
m169,10.101533333333332,37.27422222222222
