ID,RADEG_x,DECDEG_x,CLASS,DATATABLE,Object ID,RADEG_y,DECDEG_y,Nearest field,Distance to nearest field
B057,10.4701375,40.8679806,1,m31rbcV5,3.6915189363262195e+17,10.470082,40.868087,m249,55.261954377781734
B058,10.4708667,40.7860139,1,m31rbcV5,3.691504848838977e+17,10.470845,40.78602,m249,59.773760003615806
B059,10.4754167,41.1835833,1,m31rbcV5,3.812627049875702e+17,10.475425,41.183545,m248,51.0461047451566
B060,10.487525,41.0873333,1,m31rbcV5,3.812590284919283e+17,10.487534,41.087374,m248,48.731630363281994
B255,10.4998625,40.8093806,1,m31rbcV5,3.6915069104063936e+17,10.500066,40.809433,m248,56.38869207695614
B061,10.5005542,41.4932528,1,m31rbcV5,3.812854511280484e+17,10.500552,41.493261,m266,62.42852263416906
B063,10.5036333,41.4859806,1,m31rbcV5,3.812853781065677e+17,10.50361,41.485982,m266,62.75771432726519
B064,10.5080333,41.1854167,1,m31rbcV5,3.8126284242287744e+17,10.508008,41.185418,m248,48.442999498049865
B065,10.5080625,40.6702778,1,m31rbcV5,3.691459837576443e+17,10.508066,40.670248,m228,59.59816973350883
B344,10.5123708,41.8672778,1,m31rbcV5,3.813638256911713e+17,10.512365,41.867241,m266,46.911550583374655
B066,10.5128708,40.7464222,1,m31rbcV5,3.691471863498166e+17,10.512813,40.746414,m248,59.57824017035778
B067,10.5132042,41.0732278,1,m31rbcV5,3.812582038582089e+17,10.513246,41.073254,m248,46.576554817963135
B068,10.5133625,40.9805917,1,m31rbcV5,3.811638863682529e+17,10.513343,40.980595,m248,47.86072549318451
B257,10.5136833,40.9705361,1,m31rbcV5,3.691542300950552e+17,10.513699,40.970515,m248,48.10349443043235
B461,10.5177042,42.0573972,1,m31rbcV5,3.8137255306466176e+17,10.517708,42.057365,m266,51.67621928944801
B041D,10.5196667,41.2798167,1,m31rbcV5,3.81264835285089e+17,10.51969,41.279739,m248,51.10074188582008
B070,10.5287208,41.1323361,1,m31rbcV5,3.8125920029061824e+17,10.528768,41.132314,m248,45.639810403673195
B071,10.529725,41.20335,1,m31rbcV5,3.8126294550218406e+17,10.529635,41.203347,m248,47.22830805465005
B072,10.5309083,41.379925,1,m31rbcV5,3.812665876317166e+17,10.5309,41.379896,m248,56.074998526293015
B074,10.5335042,41.7226722,1,m31rbcV5,3.8129218564287066e+17,10.533505,41.722688,m266,47.423091144376144
B075,10.5367667,41.3392361,1,m31rbcV5,3.812661753148703e+17,10.536685,41.339272,m248,53.10675015048312
MITA140,10.5395583,41.2960028,1,m31rbcV5,3.8126497272403904e+17,10.53956,41.295992,m248,50.44515461843393
B076,10.5427042,41.0894583,1,m31rbcV5,3.812583412971616e+17,10.542654,41.08945,m248,44.11766098419377
B077,10.5463708,41.1261111,1,m31rbcV5,3.812595095282643e+17,10.54639,41.126089,m248,44.09059670333301
B078,10.5506292,41.2996667,1,m31rbcV5,3.812649727240383e+17,10.550646,41.29967,m248,49.8318050212781
B080,10.5515375,41.3169139,1,m31rbcV5,3.8126535068728384e+17,10.551599,41.316844,m248,50.72705067245449
