,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
220,B079,10.5506583,41.4911167,m266,0.5346449375676376
221,G145,10.5671667,40.3266611,m228,0.22653677184392257
222,B346,10.5840125,40.508525,m228,0.3650199005683546
223,2M015,10.6053333,37.7030556,m186,0.5730582935945265
224,NB23,10.6111542,41.3012083,m248,0.40996972085540917
225,B463,10.6146458,40.5979083,m228,0.4392480714938869
226,BH15,10.6148625,40.5583611,m228,0.401803973117529
227,B464,10.6278833,42.0036528,m266,0.36783294360158886
228,SK110C,10.637875,40.08155555555556,m228,0.15488889010668605
229,G171,10.641025,43.0350222,m285,0.33116572077852763
230,B062D,10.6416917,40.9042139,m248,0.3666789700841683
231,SK108B,10.6465792,40.558,m228,0.3939130756948319
232,2M026,10.647125,37.5248333,m169,0.5006645845837233
233,B066D,10.6604292,40.8301667,m248,0.39621378044894134
234,SK006E,10.705625,41.9851667,m266,0.3076274021131172
235,2M027,10.7227917,39.15375,m209,0.1998447671853086
236,BH19,10.7378583,40.8213,m248,0.35892546578457674
237,C22,10.765416666666663,32.14361111111111,m062,0.2900169851919493
238,BH22,10.7677917,40.8583806,m248,0.3166714710585894
239,B267,10.77355,40.767975,m248,0.3826581688402819
240,B222D,10.7829083,40.2936944,m228,0.11359856764959567
241,B223D,10.789825,42.4164694,m285,0.34666712450345605
242,BH24,10.7991417,40.8841028,m248,0.2817496078106008
243,SK007E,10.8107167,40.3832361,m228,0.20324150844899766
244,B227D,10.8137458,40.2619389,m228,0.08294063551576104
245,SK008E,10.8152917,42.0299722,m266,0.26440191859521733
246,B270,10.8225958,40.9293361,m248,0.23851729307721656
247,B228D,10.82915,40.4035083,m228,0.2247252713100085
248,B469,10.8305792,42.1717639,m266,0.3688035587052221
249,B230D,10.8523417,40.4143917,m228,0.2382050654835191
250,B273,10.8604792,40.8643389,m248,0.2660201013724293
251,SK067A,10.8644708,41.59295,m266,0.3045366142876739
252,C038,10.8671667,42.1273611,m266,0.31678852751688596
253,G225,10.8712667,39.1952833,m209,0.07956701351457597
254,C23,10.883333333333333,33.16777777777777,m084,0.15620543076144316
255,B099D,10.895025,40.9283972,m248,0.1996102297628276
256,B470,10.906425,42.1631694,m266,0.33618054062937475
257,SK136B,10.9082167,41.7612583,m266,0.1561479310008033
258,SK070A,10.9156,41.4878722,m266,0.38414284143475685
259,B101D,10.9219,40.9126833,m248,0.19978158341452126
260,B233D,10.922129166666666,39.612766666666666,m214,0.33139543935962984
261,B471,10.9234917,42.132525,m266,0.3030265010684781
262,B234D,10.9250708,39.7746361,m214,0.3643687496900645
263,B191,10.9314125,40.7282917,m248,0.36562422287047147
264,C24,10.934583333333332,31.69,m037,0.4250206574074129
265,SK009E,10.9470833,40.5485556,m228,0.38622494643262734
266,SK075A,10.96825,41.6416278,m266,0.22609761539303574
267,B360,10.9822167,40.02315,m228,0.21328417964586147
268,C039,10.983675,40.9814333,m248,0.11669797122523028
269,B275,10.9852667,40.9807222,m248,0.11663897187351083
270,SK078A,10.9940292,41.4173611,m248,0.34315446166312147
271,C26,11.004166666666665,30.700277777777774,m022,0.41734561333984166
272,B276,11.0112625,41.0382639,m248,0.05943752428002859
273,V285,11.0468,41.422975,m248,0.34452490977375
274,G273,11.0727083,42.9510389,m285,0.23883288318393192
275,B364,11.0786042,39.7559861,m214,0.2520951259970026
276,B244D,11.0798875,42.4196889,m285,0.3657947851373818
277,B113D,11.0956583,40.7741917,m248,0.30533002213852883
278,B280,11.1142833,40.8383056,m248,0.24297812395705376
279,B226,11.1271667,41.1830639,m248,0.11309285233097807
280,B247D,11.1284,40.0985972,m228,0.2685272582173015
281,B227,11.1301625,40.7388694,m248,0.34312284639866975
282,B249D,11.1777,39.7683361,m214,0.20203476505127946
283,B250D,11.1831417,42.1250389,m266,0.283675154158837
284,B120D,11.2010125,41.2714,m248,0.2167294007083558
285,G294,11.203375,43.0061972,m285,0.3422596271066556
286,B474,11.2095,41.1563528,m248,0.13127905565227915
287,SK010E,11.2187,41.7749694,m266,0.12998276939605174
288,PHF4-1,11.2236667,41.2825,m248,0.23462838482961834
289,SK160C,11.226791666666664,40.11225,m228,0.3378923637081168
290,B122D,11.2294292,41.2710639,m248,0.22705812856615182
291,PAndAS-Cand-01,11.243125,40.360533333333336,m228,0.38724889035925236
292,B124D,11.2696167,41.1486556,m248,0.16658887171567435
293,SK196B,11.2745208,40.6855306,m248,0.4229406761225418
294,SK099A,11.2839792,41.9452833,m266,0.1790432646643111
295,B369,11.30045,39.8814611,m214,0.26702051915094754
296,B478,11.3030708,42.4022972,m285,0.4691313631878194
297,B263D,11.3426042,42.3490556,m285,0.5286497536836928
