,ID,RAdeg,DECdeg
1975,314894258976095104,18.091173,34.413649
1989,314919925700585984,17.137989,34.14342
1997,313961460798406144,17.824286,33.112388
1998,313961529517237376,17.822807,33.11386
2004,313968985581380608,17.380669,33.048032
2031,317390871925314560,22.422328,34.684724
2044,317449352200113024,22.372973,35.011964
2090,315107048834969856,16.097172,34.724869
2098,316821290542655104,20.956399,33.156247
2108,316831357945652480,20.993818,33.31325
2117,316845445438483968,21.552184,33.405071
2118,316847262209079424,21.759851,33.531785
2130,316554968210400512,22.100039,32.505758
2135,316582627799611520,22.257338,32.944316
2136,316584414505949312,22.219999,33.030039
2144,316605751903512576,21.552824,32.867927
2163,317297550875723520,21.343102,34.025716
2177,317350151340383232,21.525884,34.543831
2181,317357749137020928,21.847788,34.776403
2191,317047820001637760,22.419247,33.604755
2197,316536512734902912,21.601619,32.308551
2206,319781313283432320,19.477115,33.26605
2227,316480545015990016,20.615845,32.273751
2238,316501263939437952,20.944039,32.318427
2243,316515832468059264,20.966357,32.658806
2279,316726560743648000,20.62353,32.965888
2289,316880732889672576,20.843355,33.432962
2319,315814344049845248,22.459518,32.744807
2334,315697211701769984,22.268151,31.755775
2348,315384812960272512,22.504783,31.127764
2359,315249259497076352,16.796159,35.519515
2375,317487899531202304,22.320381,35.253933
2379,317493263946002560,22.316611,35.394009
2388,319756776134156160,19.643696,32.877228
2393,317065790144986112,22.347575,33.8241
2413,317231270940553344,22.007372,33.727879
2424,316943160242338048,22.611293,32.925839
2425,316943198894049792,22.626525,32.925764
2426,316943233253788416,22.607362,32.930088
2428,316944607643313792,22.535448,32.9913
2431,316950861115625728,22.66324,33.051662
2438,316972988787380992,22.343052,33.318546
2447,317027856993641600,22.314406,33.590739
2460,319889649538147840,19.678376,34.028746
2477,315733942262114304,22.651177,32.14954
2489,315757135085507072,22.363915,32.115675
2498,315328115096427392,21.990399,30.510936
2499,315332036402276096,22.329586,30.599854
2524,315778571266593536,22.173687,32.377556
2531,319898205113436416,20.41668,33.661572
2545,319926826775127680,20.449511,34.081864
2552,319947476977944576,20.972583,34.295404
2566,316794038974064000,20.525236,33.29216
2620,320418067954985472,20.889232,35.113016
2640,320161641227411712,18.737108,34.505671
2682,320788500294179328,21.654493,36.441859
2714,320302309996488192,19.445841,35.21425
2726,320073435484068224,19.299243,33.946416
2745,320350585427716992,21.001645,34.769006
2747,320351616220938496,21.102243,34.804054
2765,320694526408663040,19.770514,35.764072
2835,320964765751021312,18.169754,34.990164
2839,320970499532998784,17.799236,34.904012
2862,320448437667504512,20.949757,35.374059
2875,320879587960861568,21.079475,37.033441
2901,319963969652689664,20.662337,34.437174
2904,319978705684858880,20.337441,34.248573
2905,319979259736223104,20.249349,34.248687
2961,320759019637975424,20.984149,35.943534
2974,320642299607501696,20.740333,35.582802
3020,320994590005095296,18.320306,35.239874
3052,321203527277977600,17.897591,35.520838
3063,321889180153149312,19.463526,37.513533
