,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
47,B289,8.5870083,41.7975389,m276,0.3812011125423699
48,B290,8.5872792,41.4717167,m254,0.32607234827172354
49,PAndAS-26,8.687833333333332,38.44390277777777,m185,0.2833735048348161
50,PAndAS-27,8.806375,45.17718055555555,m340,0.45072952693876583
51,PAndAS-28,8.985125,40.81249444444444,m254,0.3982400317777032
52,MCGC5,8.9988917,35.6842722,m125,0.461328646574242
53,SDSS1,9.0075,40.49722222222222,m233,0.4709899843929745
54,B291,9.0207333,42.0359222,m276,0.2641008576271366
55,D,9.0358,39.29165,m212,0.1797690661648807
56,PAndAS-29,9.037833333333332,40.136069444444445,m233,0.3432622315547185
57,B531,9.0614375,40.9657056,m254,0.3083025080507944
58,B292,9.0694417,40.97405,m254,0.30737992759389443
59,B293,9.0869375,40.8936806,m254,0.37304052911673
60,PAndAS-59,9.123041666666666,40.63800833333333,m233,0.5206640942946543
61,B295,9.1947208,40.3283639,m233,0.25609594024976434
62,B150D,9.2496542,41.42505,m254,0.44852249704431946
63,H11,9.3667833,44.1906694,m307,0.4521191399334772
64,B422,9.4102375,41.9998028,m265,0.36095798063383694
65,dTZZ-06,9.48287,41.30932,m249,0.37398451914864955
66,B423,9.4860917,40.9599889,m249,0.3152578795712082
67,B298,9.5009458,40.7321833,m249,0.4460301950565239
68,H12,9.5160417,37.7334972,m184,0.496980592858884
69,PA-N185,9.578333333333331,48.367777777777775,m398,0.3706356146779261
70,B301,9.5899208,40.0603222,m233,0.157813437356411
71,B167D,9.5936667,41.9097389,m265,0.20025393559488547
72,E,9.61483,40.65835,m249,0.46309232860653415
73,PAndAS-30,9.620874999999998,37.97755833333333,m184,0.2394985213165111
74,dTZZ-08,9.63313,39.86855,m233,0.3459301164872366
75,B302,9.6395833,41.3478583,m249,0.3220759160242904
76,H13,9.6401792,41.74805,m265,0.18144570955994185
77,FJJ-I,9.677916666666668,48.31122222222222,m398,0.4376550849694623
78,FJJ-II,9.700416666666667,48.30441666666666,m398,0.4479690829209804
79,MCGC7,9.7058708,42.3796889,m286,0.39864483283671087
80,B303,9.7105292,40.4586,m233,0.31729285316076633
81,B431,9.7282125,40.5823139,m233,0.4315727991839985
82,B304,9.73725,41.1745583,m249,0.1408443497207533
83,B305,9.7455083,40.2754944,m233,0.21801876332273878
