,Object ID,Nearest field,Distance to nearest field
84,PA-N147-2,m402,0.5309206782919609
85,SK006C,m231,0.4325042310792055
86,G003,m276,0.2183596373939144
87,PAndAS-24,m185,0.447074361962297
88,SK007C,m212,0.34035479150661624
89,C10,m039,2.654284616463208
90,PAndAS-25,m297,0.2556005472860646
91,PA-N147-3,m402,0.28716914499510837
92,B133D,m231,0.4473331869455426
93,BH01,m212,0.21657449710571267
94,SK008C,m231,0.2960821314295512
95,C045,m212,0.21559973169606603
96,SK009C,m231,0.30388623329505327
97,H8,m231,0.43181748270463843
98,H9,m167,0.34048374378884044
99,B289,m276,0.3812011125423699
100,B290,m254,0.32607234827172354
101,LAMOST-C01,m081,0.3542919830262625
102,SK010C,m231,0.4448579193888416
103,B411,m254,0.40239851885017475
104,SK004B,m231,0.389828883285703
105,G004,m212,0.24467544355840032
106,PAndAS-26,m185,0.2833735048348161
107,SK011C,m231,0.49326994973584515
108,BA21,m212,0.46735521961017673
109,B412,m254,0.3696215297133863
110,G005,m276,0.32096056226589337
111,2M005,m276,0.426994326195815
112,G006,m276,0.427178612328678
113,SK012C,m231,0.4775608686471422
114,SK013C,m231,0.4840935247967845
115,SK001D,m276,0.4374420563633096
116,B413,m254,0.31587239003166195
117,PAndAS-27,m340,0.45072952693876583
118,BA22,m212,0.39352036744169294
119,G007,m276,0.4270669304410606
120,SK014C,m212,0.32754578758396724
121,SK002D,m254,0.204476563295232
122,DAO1,m233,0.4997316239885168
123,SK003D,m254,0.19849748981322754
124,SK015C,m212,0.21757227579070118
125,SK005B,m276,0.25913530894839304
126,SK016C,m276,0.3509330265665124
127,SK004D,m276,0.11857403598322809
128,SK005D,m276,0.43614122897668856
129,SK017C,m212,0.17650704209288276
130,SK018C,m276,0.4732672798123365
131,SK019C,m233,0.5502159790503628
132,B134D,m254,0.44066865540075567
133,B135D,m254,0.18517523744350786
134,DAO2,m233,0.489878110515061
135,SK006D,m276,0.1406818011395546
136,SK006B,m254,0.10540838541858297
137,SK007D,m276,0.15295354729361404
138,SK007B,m212,0.30190471878010583
139,SK008D,m276,0.4466465743023968
140,SK020C,m276,0.37986926268042603
141,SK021C,m212,0.25601602497465165
142,SK022C,m254,0.3111073561629949
143,C043,m233,0.42175682634531386
144,DAO3,m233,0.4216411382835436
145,B136D,m233,0.4604954411591535
146,2M025,m185,0.49064933133812005
147,SK023C,m276,0.3655778018383078
148,SK024C,m276,0.4801973736554029
149,SK025C,m276,0.4327187295676235
150,PAndAS-28,m254,0.3982400317777032
151,SK008B,m212,0.28987641837560674
152,MCGC5,m125,0.461328646574242
153,SK009B,m254,0.29679045871724063
154,SK010B,m212,0.46844532210657536
155,SDSS1,m233,0.4709899843929745
156,SK011B,m254,0.20296448464168995
157,B291,m276,0.2641008576271366
158,SK012B,m254,0.3191417797720133
159,SK026C,m233,0.41651819539668244
160,D,m212,0.1797690661648807
161,DAO4,m233,0.4074325641728062
162,SK009D,m254,0.25826523458617556
163,PAndAS-29,m233,0.3432622315547185
164,SK027C,m254,0.368961673517878
165,B531,m254,0.3083025080507944
166,B292,m254,0.30737992759389443
167,SK028C,m254,0.34731559022872477
168,C11,m011,2.5691926661885556
169,B414,m276,0.29397454840018233
170,B293,m254,0.37304052911673
171,B137D,m254,0.34459131443039664
172,SK010D,m276,0.5085047821859907
173,B138D,m254,0.3939352154832599
174,SK029C,m233,0.44113137919881684
175,B139D,m212,0.44065051414957646
176,SK030C,m254,0.4944196785282875
177,SK011D,m276,0.5332695764203658
178,PAndAS-59,m233,0.5206640942946543
179,SK012D,m233,0.5028670111693517
180,B140D,m254,0.3392681540180425
181,B141D,m254,0.4142031150338595
182,SK031C,m276,0.31655742098920964
183,SK013D,m254,0.3203580585806041
184,SK013B,m254,0.2831788509530267
185,HEC3,m328,0.2845009088789365
186,SK014B,m233,0.5084357451004985
187,B294,m233,0.34239481807628364
188,SK032C,m254,0.43661583982999286
189,SK001A,m233,0.5354280633323387
190,B142D,m254,0.28965489963591623
191,SK014D,m265,0.5400778209437065
192,SK002A,m254,0.33035978322946574
193,B143D,m233,0.37494916269188594
194,B144D,m254,0.5357697434692287
195,SK033C,m276,0.3396260949815717
196,B145D,m276,0.34983325870224635
197,2M020,m167,0.4024912077672802
198,SK015D,m265,0.5080905476513308
199,B146D,m265,0.5405080729815573
200,SK034C,m212,0.34910702414917544
201,B147D,m254,0.3237904840818631
202,SK016D,m254,0.3611685817455455
203,SK017D,m265,0.5069514606638507
204,SK018D,m254,0.37252690881026057
205,SK035C,m254,0.4241958416485317
206,B295,m233,0.25609594024976434
207,B296,m233,0.38595606066624905
208,SK036C,m233,0.2503865543979534
209,SK019D,m276,0.36980241803943587
210,SK020D,m265,0.4984471006758895
211,SK037C,m212,0.4160256817725876
212,B148D,m254,0.34429667188781354
213,B415,m233,0.3766276625549402
214,B297,m212,0.40866149762422715
215,SK038C,m212,0.4129910280094922
216,B149D,m233,0.19436322032457581
217,SK021D,m233,0.4991003494427133
218,B150D,m254,0.44852249704431946
219,SK022D,m276,0.4096262365673067
220,SK039C,m212,0.38231383058975404
221,2M021,m167,0.4931335138828448
222,B416,m233,0.42116711460211487
223,B151D,m233,0.4277084697031674
224,SK040C,m265,0.521576134068788
225,SK023D,m254,0.4124618837191366
226,SK024D,m233,0.45335585997284383
227,SK041C,m233,0.2377564416947937
228,SK025D,m254,0.4246295380411971
229,B417,m276,0.43453167718606783
230,SK026D,m276,0.43865725337018174
231,B152D,m286,0.38449170580150066
232,SK027D,m265,0.4521000034679985
233,SK042C,m265,0.4366305773324857
234,SK028D,m265,0.4243466861604572
235,SK043C,m233,0.40260676577865073
236,SK015B,m233,0.14504665560424806
237,SK029D,m233,0.3999430656238863
238,SK044C,m233,0.19720188869275693
239,SK003A,m265,0.4404456598157062
240,B153D,m233,0.3813995919164765
241,SK045C,m254,0.49257838882597454
242,SK030D,m233,0.16285864152216573
243,SK031D,m265,0.44771748254931587
244,SK032D,m265,0.4200802821896135
245,SK033D,m265,0.42536454044810107
246,B418,m233,0.1438080966615553
247,G018,m233,0.19937769766293126
248,SK016B,m249,0.4979435833415641
249,B154D,m286,0.47041703316125355
250,B155D,m233,0.14654357914277794
251,B156D,m249,0.4546354724535055
252,B419,m233,0.48346111230067407
253,H11,m307,0.4521191399334772
254,B420,m265,0.43483014868358083
255,SK046C,m265,0.3626287530558219
256,DAO11,m233,0.25767747873629926
257,2M022,m146,0.2952235010681788
258,SK017B,m233,0.42540855776752895
259,SK018B,m233,0.13685206762699895
260,B421,m249,0.36978148218001405
261,SK019B,m233,0.1240101577116741
262,SK047C,m233,0.43613572745133333
263,B157D,m249,0.37703849084777363
264,SK020B,m233,0.39827127961218084
265,B158D,m233,0.3626461317442429
266,SK034D,m249,0.36150154470064016
267,SK048C,m233,0.1153191289342944
268,SK049C,m265,0.33424416554728603
269,C12,m011,4.695783904786376
270,B422,m265,0.36095798063383694
271,DAO12,m233,0.4219247655742499
272,SK050C,m233,0.1239444672543223
273,SK051C,m233,0.1142706879485297
274,SK035D,m249,0.3451363601700741
275,B159D,m233,0.11126018159989066
276,B160D,m233,0.02228593358820404
277,B161D,m233,0.028662376532981773
278,SK021B,m265,0.4285006204300584
279,B162D,m233,0.13365331549852622
280,SK022B,m233,0.09665168139465628
281,B163D,m233,0.2958004403666
282,dTZZ-06,m249,0.37398451914864955
283,B423,m249,0.3152578795712082
284,DAO16,m233,0.2198453023071448
285,B164D,m233,0.3447496375370541
286,SK052C,m249,0.4263536838964079
287,G020,m286,0.23236973155014587
288,B298,m249,0.4460301950565239
289,SK023B,m265,0.37497577975452884
290,SK053C,m265,0.32851690564379626
291,SK004A,m265,0.3395480389695363
292,B299,m249,0.4711602086383812
293,B424,m233,0.4384584853821069
294,H12,m184,0.496980592858884
295,B165D,m249,0.30835763439815017
296,MCEC3,m249,0.4279275347074397
297,SK054C,m233,0.2169525197369158
298,SK024B,m233,0.4564057638399508
299,SK055C,m265,0.2217827491833002
300,C13,m022,1.634146177640503
301,B166D,m249,0.3254304767396588
302,B425,m210,0.42948470064387145
303,B300,m210,0.4725424702910021
304,PA-N185,m398,0.3706356146779261
305,MCEC1,m265,0.20605827822652759
306,B426,m249,0.27351648508799814
307,B301,m233,0.157813437356411
308,B167D,m265,0.20025393559488547
309,SK056C,m249,0.31138082654
310,B427,m233,0.24113233492503383
311,B168D,m210,0.4839744118326675
312,B169D,m233,0.339424678118082
313,SDSS2,m233,0.1016673543462188
314,E,m249,0.46309232860653415
315,B170D,m233,0.4709647527495658
316,2M038,m347,0.39798554304777034
317,PAndAS-30,m184,0.2394985213165111
318,dTZZ-08,m233,0.3459301164872366
319,B302,m249,0.3220759160242904
320,H13,m265,0.18144570955994185
321,HEC6,m328,0.4778367843081359
322,B428,m249,0.3682595584060239
323,B171D,m249,0.45373228648726077
324,SK036D,m249,0.35029059025820963
325,B429,m249,0.17660316031225545
326,B172D,m233,0.1495537863122934
327,FJJ-I,m398,0.4376550849694623
328,B430,m265,0.16685120054185454
329,SK057C,m265,0.18236408767497214
330,B173D,m249,0.4082489144862756
331,SK025B,m233,0.2709220820724065
332,B174D,m249,0.4146973416763691
333,FJJ-II,m398,0.4479690829209804
334,SK058C,m233,0.2219790567077428
335,B175D,m233,0.20651148037104833
336,SK026B,m233,0.3690239864772749
337,MCGC7,m286,0.39864483283671087
338,B303,m233,0.31729285316076633
339,B176D,m265,0.3711993139175965
340,SK059C,m249,0.45076959312756926
341,DAO22,m233,0.38397798403707695
342,SK060C,m249,0.4482448427341999
343,C003,m233,0.31117845253452997
344,DAO23,m233,0.3141359519445651
345,B431,m233,0.4315727991839985
346,SH05,m249,0.1449263405528525
347,B177D,m233,0.23905784423558638
348,B304,m249,0.1408443497207533
349,B305,m233,0.21801876332273878
350,SK005A,m265,0.185002137644249
351,B432,m265,0.1434806481210296
352,SK061C,m265,0.13347072532833568
353,dTZZ-09,m249,0.17709933863554456
354,SK062C,m265,0.23228996812226155
355,C044,m265,0.14038722470200943
356,B433,m233,0.2871283006534717
357,FJJ-III,m398,0.4349454859397597
358,LAMOST-C06,m265,0.08595143944851594
359,SK063C,m249,0.41390461443390136
360,B306,m233,0.4443276562101868
361,SK027B,m233,0.3656564234271034
362,SK064C,m265,0.2590671212779735
363,SK065C,m249,0.08203454846304259
364,FJJ-IV,m398,0.40138199587751927
365,SDSS3,m265,0.14460037678296217
366,DAO25,m233,0.2576477977761328
367,FJJ-V,m398,0.3988109881892033
368,SK028B,m265,0.12483856188649207
369,B434,m265,0.35647747057934825
370,SK066C,m286,0.42850352942599784
